Rank;Autores;Ano;Palavras-chave;TÃ­tulo;Revista;NÃºmero de CitaÃ§Ãµes;DOI;Abstract
1;"Rajendra B. Zolekar; Vijay Bhagat";2015;"Agriculture; Pairwise comparison; Agricultural engineering; Soil texture; Environmental science";Multi-criteria land suitability analysis for agriculture in hilly zone: Remote sensing and GIS approach;COMPUTERS AND ELECTRONICS IN AGRICULTURE;341;10.1016/j.compag.2015.09.016;Physiographic components play a fundamental role in agriculture in hilly zone. Slope, soil depth, erosion, moisture, water holding capacities, texture and availability of nutrients have affect on agricultural production. Land suitability analysis can help to formulate the strategies for improvement in agricultural productivity. GIS based multi-criterion decision making approach using IRS P6 LISS-IV dataset was used to analyze land suitability for agriculture in hilly zone. The experts’ opinions and correlation analyses were used to decide the ranks of influencing criterion whereas pairwise comparison matrix in ‘Comparison for Super Decision Software’ used to determine the weights. The scores for sub-parameters showing internal variations within the criteria assigned based on field work and reported norms in published literature. About 17% (7326 ha) of reviewed area are classified in the class ‘highly suitable’, 29% (12,372 ha) in ‘moderately suitable’, 16% (6514 ha) in ‘marginally suitable’ and 38% (15,798 ha) in ‘not suitable’ for agriculture. The land suitability classes i.e. ‘highly suitable’ and ‘not suitable’ in suitability map are precisely estimated than the classes ‘moderately suitable’ and ‘marginally suitable’ both in producer’s and user’s point of view. The methodology, techniques and findings of the study can be useful to assess the land suitability for agriculture in hilly zones.
2;"Rizwan Muhammad; Wenyin Zhang; Zaheer Abbas; Feng Guo; Luc Gwiazdzinski";2022;"Land cover; Impervious surface; Land use; Environmental science; Physical geography";Spatiotemporal Change Analysis and Prediction of Future Land Use and Land Cover Changes Using QGIS MOLUSCE Plugin and Remote Sensing Big Data: A Case Study of Linyi, China;LAND;203;10.3390/land11030419;Land use and land cover (LULC) change analysis is a systematic technique that aids in the comprehension of physical and non-physical interaction with the natural habitat and the pursuit of environmental sustainability. Research regarding LULC’s spatiotemporal changing patterns and the simulation of future scenarios offers a complete view of present and future development possibilities. To simulate the spatiotemporal change transition potential and future LULC simulation, we utilized multi-temporal remotely sensed big data from 1990 to 2020 with a 10-year interval. Independent variables (DEM, slope, and distance from roads) and an integrated CA-ANN methodology within the MOLUSCE plugin of QGIS were utilized. The findings reveal that physical and socioeconomic driving variables have a substantial effect on the patterns of the terrain. In the last three decades, the study area had a significant rise in impervious surface from 10.48% to 26.91%, as well as a minor increase in water from 1.30% to 1.67%. As a result, forest cover decreased from 12.60% to 8.74%, green space decreased from 26.34% to 16.57%, and barren land decreased from 49.28% to 46.11%. Additionally, the predictions (2030–2050) support the increasing trend towards impervious surface at the expense of significant quantities of forest and green space.
3;Catur Aries Rokhmana;2015;"Orthophoto; Remote sensing; Photogrammetry; Digital elevation model; Terrain";The Potential of UAV-based Remote Sensing for Supporting Precision Agriculture in Indonesia;1ST INTERNATIONAL SYMPOSIUM ON LAPAN-IPB SATELLITE (LISAT) FOR FOOD SECURITY AND ENVIRONMENTAL MONITORING;197;10.1016/j.proenv.2015.03.032;This paper shows some practical experiences of using Unmanned Aerial Vehicle-(UAV) based platform for remote sensing in supporting precision agriculture mapping. Some of the information for land preparation, cadaster boundary, vegetation monitoring, plant healthy, and stock valuation are required periodically. So, the UAV-Based remote sensing system should have characteristics such as cost-effective, fast in producing, easy in operation by local staff, and good geometry accuracy (sub-meter). The system consists of aerial platforms from R/C plane, point and shoots digital cameras, data processing with digital photogrammetric: structure from motion algorithms, and free open source-GIS for visualizing. This system has the ability to produce imagery with spatial resolution <10 cm, measuring parcel area, assess the individual trees or plants stock, and topography. The basic products of the system are Orthophoto Image and Digital Elevation Model (DEM). The Average geometric accuracy can be obtained up to 3 pixels or equivalent to sub-meter accuracy, while the production time can be reached more than 500Ha a day. The Orthophoto image could provide visual interpretation such as the individual trees structure, plant density, and parcel boundary area, while DEM could asses tree's height information and terrain topography with accuracy 3-6 pixel or 0.5-2.5 m.
4;"Francesco Argento; Thomas Anken; F. Abt; E. Vogelsanger; Achim Walter; Frank Liebisch";2020;"Argento  Francesco; Anken  Thomas; Abt  F.; Vogelsanger  E.; Walter  Achim; Liebisch  Frank 2021-04 Creative Commons Attribution 4.0 International Nitrogen management; Winter wheat; UAV; Variable rate application";Site-specific nitrogen management in winter wheat supported by low-altitude remote sensing and soil data;Precision Agriculture;150;10.1007/s11119-020-09733-3;Site-specific nitrogen (N) management in precision agriculture is used to improve nitrogen use efficiency (NUE) at the field scale. The objective of this study has been (i) to better understand the relationship between data derived from an unmanned aerial vehicle (UAV) platform and the crop temporal and spatial variability in small fields of about 2 ha, and (ii) to increase knowledge on how such data can support variable application of N fertilizer in winter wheat (Triticum aestivum). Multi-spectral images acquired with a commercially available UAV platform and soil available mineral N content (Nmin) sampled in the field were used to evaluate the in-field variability of the N-status of the crop. A plot-based field experiment was designed to compare uniform standard rate (ST) to variable rate (VR) N application. Non-fertilized (NF) and N-rich (NR) plots were placed as positive and negative N-status references and were used to calculate various indicators related to NUE. The crop was monitored throughout the season to support three split fertilizations. The data of two growing seasons (2017/2018 and 2018/2019) were used to validate the sensitivity of spectral vegetation indices (SVI) suitable for the sensor used in relation to biomass and N-status traits. Grain yield was mostly in the expected range and inconsistently higher in VR compared to ST. In contrast, N fertilizer application was reduced in the VR treatments between 5 and 40% depending on the field heterogeneity. The study showed that the methods used provided a good base to implement variable rate fertilizer application in small to medium scale agricultural systems. In the majority of the case studies, NUE was improved around 10% by redistributing and reducing the amount of N fertilizer applied. However, the prediction of the N-mineralisation in the soil and related N-uptake by the plants remains to be better understood to further optimize in-season N-fertilization.
5;"Chenglong Zhang; JoÃ£o Valente; Lammert Kooistra; Leifeng Guo; Wensheng Wang";2021;"Fruit trees; Site-specific management; Precision agriculture; Drone; Sensors";Orchard management with small unmanned aerial vehicles: a survey of sensing and analysis approaches;Precision Agriculture;132;10.1007/s11119-021-09813-y;Advances in sensor miniaturization are increasing the global popularity of unmanned aerial vehicle (UAV)-based remote sensing applications in many domains of agriculture. Fruit orchards (the source of the fruit industry chain) require site-specific or even individual-tree-specific management throughout the growing seasonâ€”from flowering, fruitlet development, ripening, and harvestâ€”to tree dormancy. The recent increase in research on deploying UAV in orchard management has yielded new insights but challenges relating to determining the optimal approach (e.g., image-processing methods) are hampering widespread adoption, largely because there is no standard workflow for the application of UAVs in orchard management. This paper provides a comprehensive literature review focused on UAV-based orchard management: the survey includes achievements to date and shortcomings to be addressed. Sensing system architecture focusing on UAVs and sensors is summarized. Then up-to-date applications supported by UAVs in orchard management are described, focusing on the diversity of data-processing techniques, including monitoring efficiency and accuracy. With the goal of identifying the gaps and examining the opportunities for UAV-based orchard management, this study also discusses the performance of emerging technologies and compare similar research providing technical and comprehensive support for the further exploitation of UAVs and a revolution in orchard management.
6;"Monika Ruwaimana; Behara Satyanarayana; Viviana Otero; Aidy M. Muslim; A Muhammad Syafiq; Sulong Ibrahim; Dries Raymaekers; Nico Koedam; Farid Dahdouh-Guebas";2018;;The advantages of using drones over space-borne imagery in the mapping of mangrove forests.;PloS one;131;10.1371/journal.pone.0200288;Satellite data and aerial photos have proved to be useful in efficient conservation and management of mangrove ecosystems. However, there have been only very few attempts to demonstrate the ability of drone images, and none so far to observe vegetation (species-level) mapping. The present study compares the utility of drone images (DJI-Phantom-2 with SJ4000 RGB and IR cameras, spatial resolution: 5cm) and satellite images (Pleiades-1B, spatial resolution: 50cm) for mangrove mappingâ€”specifically in terms of image quality, efficiency and classification accuracy, at the Setiu Wetland in Malaysia. Both object- and pixel-based classification approaches were tested (QGIS v.2.12.3 with Orfeo Toolbox). The object-based classification (using a manual rule-set algorithm) of drone imagery with dominant land-cover features (i.e. water, land, Avicennia alba, Nypa fruticans, Rhizophora apiculata and Casuarina equisetifolia) provided the highest accuracy (overall accuracy (OA): 94.0Â±0.5% and specific producer accuracy (SPA): 97.0Â±9.3%) as compared to the Pleiades imagery (OA: 72.2Â±2.7% and SPA: 51.9Â±22.7%). In addition, the pixel-based classification (using a maximum likelihood algorithm) of drone imagery provided better accuracy (OA: 90.0Â±1.9% and SPA: 87.2Â±5.1%) compared to the Pleiades (OA: 82.8Â±3.5% and SPA: 80.4Â±14.3%). Nevertheless, the drone provided higher temporal resolution images, even on cloudy days, an exceptional benefit when working in a humid tropical climate. In terms of the user-costs, drone costs are much higher, but this becomes advantageous over satellite data for long-term monitoring of a small area. Due to the large data size of the drone imagery, its processing time was about ten times greater than that of the satellite image, and varied according to the various image processing techniques employed (in pixel-based classification, drone >50 hours, Pleiades <5 hours), constituting the main disadvantage of UAV remote sensing. However, the mangrove mapping based on the drone aerial photos provided unprecedented results for Setiu, and was proven to be a viable alternative to satellite-based monitoring/management of these ecosystems. The improvements of drone technology will help to make drone use even more competitive in the future.
7;"Gustavo Willam Pereira; Domingos Sárvio Magalhães Valente; Daniel Marçal de Queiroz; André Luiz de Freitas Coelho; Marcelo Marques Costa; Tony E. Grift";2022;"Plug-in; Support vector machine; Kriging; Computer science; Data mining";Smart-Map: An Open-Source QGIS Plugin for Digital Mapping Using Machine Learning Techniques and Ordinary Kriging;AGRONOMY-BASEL;128;10.3390/agronomy12061350;Machine Learning (ML) algorithms have been used as an alternative to conventional and geostatistical methods in digital mapping of soil attributes. An advantage of ML algorithms is their flexibility to use various layers of information as covariates. However, ML algorithms come in many variations that can make their application by end users difficult. To fill this gap, a Smart-Map plugin, which complements Geographic Information System QGIS Version 3, was developed using modern artificial intelligence (AI) tools. To generate interpolated maps, Ordinary Kriging (OK) and the Support Vector Machine (SVM) algorithm were implemented. The SVM model can use vector and raster layers available in QGIS as covariates at the time of interpolation. Covariates in the SVM model were selected based on spatial correlation measured by Moran’s Index (I’Moran). To evaluate the performance of the Smart-Map plugin, a case study was conducted with data of soil attributes collected in an area of 75 ha, located in the central region of the state of Goiás, Brazil. Performance comparisons between OK and SVM were performed for sampling grids with 38, 75, and 112 sampled points. R2 and RMSE were used to evaluate the performance of the methods. SVM was found superior to OK in the prediction of soil chemical attributes at the three sample densities tested and was therefore recommended for prediction of soil attributes. In this case study, soil attributes with R2 values ranging from 0.05 to 0.83 and RMSE ranging from 0.07 to 12.01 were predicted by the methods tested.
8;"Chen Zhang; Liping Di; Li Lin; Hui Li; Liying Guo; Zhengwei Yang; Genong Yu; Yahui Di; Anna Yang";2022;"Ground truth; Computer science; Scalability; Workflow; Remote sensing";Towards automation of in-season crop type mapping using spatiotemporal crop information and remote sensing data;AGRICULTURAL SYSTEMS;117;10.1016/j.agsy.2022.103462;"CONTEXT: Mapping crop types from satellite images is a promising application in agricultural systems. However, it is a challenge to automate in-season crop type mapping over a large area because of the insufficiency of ground truth and issues of scalability, reusability, and accessibility of the classification model. This study introduces a framework for automatic crop type mapping using spatiotemporal crop information and Sentinel-2 data based on Google Earth Engine (GEE). The main advantage of the framework is using the trusted pixels extracted from the historical Cropland Data Layer (CDL) to replace ground truth and label training samples in satellite images. OBJECTIVE: This paper will achieve three objectives: (1) assessing spatiotemporal crop information derived from the historical crop cover maps; (2) mapping crop cover, mainly crop fields without regular historical crop rotation patterns, from remote sensing data using supervised learning classification and validating mapping results; and (3) automating in-season crop mapping and exploring the scalability of the framework. METHODS: The proposed crop mapping workflow consists of four stages. The data preparation stage preprocesses CDL and Sentinel-2 data into the required structure. The spatiotemporal crop information sampling stage extracts trusted pixels from the historical CDL time series and labels Sentinel-2 data. Then a crop type classification model can be trained using the supervised learning classifier in the model training stage. In the mapping/validation stage, an in-season crop cover map over the full Sentinel-2 tile will be produced using the trained model and the classification performance will be validated using CDL or other ground truth data. RESULTS AND CONCLUSIONS: We systematically perform a group of experiments for in-season mapping of five major crop types (corn, cotton, rice, soybeans, and soybeans-wheat double cropping) over the Mississippi Delta region. The result indicates that the crop cover map of the study area is expected to reach 80%–90% agreement with CDL within the growing season. To further facilitate the use of the framework, we also develop a GEE-enabled online prototype, In-season Crop Mapping Kit, and explore its scalability over agricultural fields in various ecoregions including California, Idaho, Kansas, and Illinois. SIGNIFICANCE: The mapping-without-ground-truth approach described in this paper can significantly reduce ground truthing process and save substantial resource needs and labor costs, which is applicable to the production of in-season CDL-like data for the entire United States. The findings and outputs will benefit the agriculture community and other agricultural sectors ranging from government, academia, and companies."
9;"Derek G. Groenendyk; Ty P. A. FerrÃ©; Kelly R. Thorp; Amy K. Rice";2015;;Hydrologic-Process-Based Soil Texture Classifications for Improved Visualization of Landscape Function;PloS one;95;10.1371/journal.pone.0131299;Soils lie at the interface between the atmosphere and the subsurface and are a key component that control ecosystem services, food production, and many other processes at the Earthâ€™s surface. There is a long-established convention for identifying and mapping soils by texture. These readily available, georeferenced soil maps and databases are used widely in environmental sciences. Here, we show that these traditional soil classifications can be inappropriate, contributing to bias and uncertainty in applications from slope stability to water resource management. We suggest a new approach to soil classification, with a detailed example from the science of hydrology. Hydrologic simulations based on common meteorological conditions were performed using HYDRUS-1D, spanning textures identified by the United States Department of Agriculture soil texture triangle. We consider these common conditions to be: drainage from saturation, infiltration onto a drained soil, and combined infiltration and drainage events. Using a k-means clustering algorithm, we created soil classifications based on the modeled hydrologic responses of these soils. The hydrologic-process-based classifications were compared to those based on soil texture and a single hydraulic property, Ks. Differences in classifications based on hydrologic response versus soil texture demonstrate that traditional soil texture classification is a poor predictor of hydrologic response. We then developed a QGIS plugin to construct soil maps combining a classification with georeferenced soil data from the Natural Resource Conservation Service. The spatial patterns of hydrologic response were more immediately informative, much simpler, and less ambiguous, for use in applications ranging from trafficability to irrigation management to flood control. The ease with which hydrologic-process-based classifications can be made, along with the improved quantitative predictions of soil responses and visualization of landscape function, suggest that hydrologic-process-based classifications should be incorporated into environmental process models and can be used to define application-specific maps of hydrologic function.
10;"Sneha Murmu; Sujata Biswas";2015;"Thematic map; Artificial intelligence; Contextual image classification; Pixel; Identification (biology)";Application of Fuzzy Logic and Neural Network in Crop Classification: A Review;INTERNATIONAL CONFERENCE ON WATER RESOURCES, COASTAL AND OCEAN ENGINEERING (ICWRCOE'15);94;10.1016/j.aqpro.2015.02.153;Image classification is one of the crucial techniques in detecting the crops from remotely sensed data as mapping of crops is a complex activity which in turn is an important parameter for planning and management of irrigation command area. Classifying remotely sensed data into a thematic map remains a challenge because many factors, such as the complexity of the landscape in a study area, selected remotely sensed data, and image-processing and classification approaches, may affect the success of a classification. Up-to-date and accurate classification results are required for analyses, which provide basis for deciding and implementing policies and plans for management of agricultural crops in local, regional and global scale. Successful identification of crops requires knowledge of the developmental stages and appearance of each crop in the area to be inventoried. The crops thus identified from the remote sensing data can be utilized to estimate crop water requirements for irrigation planning and management. Supervised and unsupervised classifications have been in common use in remote sensing for many years which are known as hard classification. Supervised and unsupervised classifications rely on classical set theory in assigning pixels into discrete classes based on training sets and some statistically determined criteria. Conventional classification methods such as Supervised and Unsupervised classification techniques are often incapable of performing satisfactorily in the presence of mixed pixels, the pixels which are not completely occupied by a single homogeneous category. Soft computing techniques are useful for tackling these real-world problems based on fuzzy systems, artificial neural networks, and evolutionary algorithms. These techniques are widely used nowadays by researchers. Nevertheless, each model has its own advantages and disadvantages. Contrary to hard classifiers, fuzzy classifier does not make a definitive decision about the land cover class to which each pixel belongs. Rather, they develop statements of the degree to which each pixel belongs to each of the land cover classes being considered. It is achieved by applying a function called “membership function” on remotely sensed images. Artificial Neural Networks are computer programs that are designed to simulate human-learning processes through establishment and reinforcement of linkages between input data and output data. Artificial neural network is used as a powerful tool for pattern classification and have been found to be accurate in the classification of remotely sensed data. The paper reviews application of different soft computing classification techniques for crop mapping which is necessary for estimating crop water requirements with the help of satellite images.
