Rank;Autores;Ano;Título;Palavras-chave;Revista;Número de Citações;DOI;Abstract
1;"Francesco Argento; Thomas Anken; F. Abt; E. Vogelsanger; Achim Walter; Frank Liebisch";2020;Site-specific nitrogen management in winter wheat supported by low-altitude remote sensing and soil data;"Argento  Francesco; Anken  Thomas; Abt  F.; Vogelsanger  E.; Walter  Achim; Liebisch  Frank 2021-04 Creative Commons Attribution 4.0 International Nitrogen management; Winter wheat; UAV; Variable rate application";Precision Agriculture;150;10.1007/s11119-020-09733-3;Site-specific nitrogen (N) management in precision agriculture is used to improve nitrogen use efficiency (NUE) at the field scale. The objective of this study has been (i) to better understand the relationship between data derived from an unmanned aerial vehicle (UAV) platform and the crop temporal and spatial variability in small fields of about 2 ha, and (ii) to increase knowledge on how such data can support variable application of N fertilizer in winter wheat (Triticum aestivum). Multi-spectral images acquired with a commercially available UAV platform and soil available mineral N content (Nmin) sampled in the field were used to evaluate the in-field variability of the N-status of the crop. A plot-based field experiment was designed to compare uniform standard rate (ST) to variable rate (VR) N application. Non-fertilized (NF) and N-rich (NR) plots were placed as positive and negative N-status references and were used to calculate various indicators related to NUE. The crop was monitored throughout the season to support three split fertilizations. The data of two growing seasons (2017/2018 and 2018/2019) were used to validate the sensitivity of spectral vegetation indices (SVI) suitable for the sensor used in relation to biomass and N-status traits. Grain yield was mostly in the expected range and inconsistently higher in VR compared to ST. In contrast, N fertilizer application was reduced in the VR treatments between 5 and 40% depending on the field heterogeneity. The study showed that the methods used provided a good base to implement variable rate fertilizer application in small to medium scale agricultural systems. In the majority of the case studies, NUE was improved around 10% by redistributing and reducing the amount of N fertilizer applied. However, the prediction of the N-mineralisation in the soil and related N-uptake by the plants remains to be better understood to further optimize in-season N-fertilization.
2;"Chenglong Zhang; João Valente; Lammert Kooistra; Leifeng Guo; Wensheng Wang";2021;Orchard management with small unmanned aerial vehicles: a survey of sensing and analysis approaches;"Fruit trees; Site-specific management; Precision agriculture; Drone; Sensors";Precision Agriculture;132;10.1007/s11119-021-09813-y;Advances in sensor miniaturization are increasing the global popularity of unmanned aerial vehicle (UAV)-based remote sensing applications in many domains of agriculture. Fruit orchards (the source of the fruit industry chain) require site-specific or even individual-tree-specific management throughout the growing season—from flowering, fruitlet development, ripening, and harvest—to tree dormancy. The recent increase in research on deploying UAV in orchard management has yielded new insights but challenges relating to determining the optimal approach (e.g., image-processing methods) are hampering widespread adoption, largely because there is no standard workflow for the application of UAVs in orchard management. This paper provides a comprehensive literature review focused on UAV-based orchard management: the survey includes achievements to date and shortcomings to be addressed. Sensing system architecture focusing on UAVs and sensors is summarized. Then up-to-date applications supported by UAVs in orchard management are described, focusing on the diversity of data-processing techniques, including monitoring efficiency and accuracy. With the goal of identifying the gaps and examining the opportunities for UAV-based orchard management, this study also discusses the performance of emerging technologies and compare similar research providing technical and comprehensive support for the further exploitation of UAVs and a revolution in orchard management.
3;"Monika Ruwaimana; Behara Satyanarayana; Viviana Otero; Aidy M. Muslim; A Muhammad Syafiq; Sulong Ibrahim; Dries Raymaekers; Nico Koedam; Farid Dahdouh-Guebas";2018;The advantages of using drones over space-borne imagery in the mapping of mangrove forests.;N/D;PloS one;131;10.1371/journal.pone.0200288;Satellite data and aerial photos have proved to be useful in efficient conservation and management of mangrove ecosystems. However, there have been only very few attempts to demonstrate the ability of drone images, and none so far to observe vegetation (species-level) mapping. The present study compares the utility of drone images (DJI-Phantom-2 with SJ4000 RGB and IR cameras, spatial resolution: 5cm) and satellite images (Pleiades-1B, spatial resolution: 50cm) for mangrove mapping—specifically in terms of image quality, efficiency and classification accuracy, at the Setiu Wetland in Malaysia. Both object- and pixel-based classification approaches were tested (QGIS v.2.12.3 with Orfeo Toolbox). The object-based classification (using a manual rule-set algorithm) of drone imagery with dominant land-cover features (i.e. water, land, Avicennia alba, Nypa fruticans, Rhizophora apiculata and Casuarina equisetifolia) provided the highest accuracy (overall accuracy (OA): 94.0±0.5% and specific producer accuracy (SPA): 97.0±9.3%) as compared to the Pleiades imagery (OA: 72.2±2.7% and SPA: 51.9±22.7%). In addition, the pixel-based classification (using a maximum likelihood algorithm) of drone imagery provided better accuracy (OA: 90.0±1.9% and SPA: 87.2±5.1%) compared to the Pleiades (OA: 82.8±3.5% and SPA: 80.4±14.3%). Nevertheless, the drone provided higher temporal resolution images, even on cloudy days, an exceptional benefit when working in a humid tropical climate. In terms of the user-costs, drone costs are much higher, but this becomes advantageous over satellite data for long-term monitoring of a small area. Due to the large data size of the drone imagery, its processing time was about ten times greater than that of the satellite image, and varied according to the various image processing techniques employed (in pixel-based classification, drone >50 hours, Pleiades <5 hours), constituting the main disadvantage of UAV remote sensing. However, the mangrove mapping based on the drone aerial photos provided unprecedented results for Setiu, and was proven to be a viable alternative to satellite-based monitoring/management of these ecosystems. The improvements of drone technology will help to make drone use even more competitive in the future.
4;"Esther Grüner; Michael Wachendorf; Thomas Astor";2020;The potential of UAV-borne spectral and textural information for predicting aboveground biomass and N fixation in legume-grass mixtures.;N/D;PloS one;72;10.1371/journal.pone.0234703;Organic farmers, who rely on legumes as an external nitrogen (N) source, need a fast and easy on-the-go measurement technique to determine harvestable biomass and the amount of fixed N (NFix) for numerous farm management decisions. Especially clover- and lucerne-grass mixtures play an important role in the organic crop rotation under temperate European climate conditions. Multispectral sensors mounted on unmanned aerial vehicles (UAVs) are new promising tools for a non-destructive assessment of crop and grassland traits on large and remote areas. One disadvantage of multispectral information and derived vegetations indices is, that both ignore spatial relationships of pixels to each other in the image. This gap can be filled by texture features from a grey level co-occurrence matrix. The aim of this multi-temporal field study was to provide aboveground biomass and NFix estimation models for two legume-grass mixtures through a whole vegetation period based on UAV multispectral information. The prediction models covered different proportions of legumes (0-100% legumes) to represent the variable conditions in practical farming. Furthermore, the study compared prediction models with and without the inclusion of texture features. As multispectral data usually suffers from multicollinearity, two machine learning algorithms, Partial Least Square and Random Forest (RF) regression, were used. The results showed, that biomass prediction accuracy for the whole dataset as well as for crop-specific models were substantially improved by the inclusion of texture features. The best model was generated for the whole dataset by RF with an rRMSE of 10%. For NFix prediction accuracy of the best model was based on RF including texture (rRMSEP = 18%), which was not consistent with crop specific models.
5;"Derek G. Groenendyk; Ty P. A. Ferré; Kelly R. Thorp; Amy K. Rice";2015;Hydrologic-Process-Based Soil Texture Classifications for Improved Visualization of Landscape Function;N/D;PloS one;95;10.1371/journal.pone.0131299;Soils lie at the interface between the atmosphere and the subsurface and are a key component that control ecosystem services, food production, and many other processes at the Earth’s surface. There is a long-established convention for identifying and mapping soils by texture. These readily available, georeferenced soil maps and databases are used widely in environmental sciences. Here, we show that these traditional soil classifications can be inappropriate, contributing to bias and uncertainty in applications from slope stability to water resource management. We suggest a new approach to soil classification, with a detailed example from the science of hydrology. Hydrologic simulations based on common meteorological conditions were performed using HYDRUS-1D, spanning textures identified by the United States Department of Agriculture soil texture triangle. We consider these common conditions to be: drainage from saturation, infiltration onto a drained soil, and combined infiltration and drainage events. Using a k-means clustering algorithm, we created soil classifications based on the modeled hydrologic responses of these soils. The hydrologic-process-based classifications were compared to those based on soil texture and a single hydraulic property, Ks. Differences in classifications based on hydrologic response versus soil texture demonstrate that traditional soil texture classification is a poor predictor of hydrologic response. We then developed a QGIS plugin to construct soil maps combining a classification with georeferenced soil data from the Natural Resource Conservation Service. The spatial patterns of hydrologic response were more immediately informative, much simpler, and less ambiguous, for use in applications ranging from trafficability to irrigation management to flood control. The ease with which hydrologic-process-based classifications can be made, along with the improved quantitative predictions of soil responses and visualization of landscape function, suggest that hydrologic-process-based classifications should be incorporated into environmental process models and can be used to define application-specific maps of hydrologic function.
6;"Fasika Alemayehu; Motuma Tolera; Gizaw Tesfaye";2019;Land use land cover change trend and its drivers in Somodo watershed South Western, Ethiopia.;"Drivers; geographic information system (GIS); Land use/Land cover Change prediction; Somodo Watershed";African Journal of Agricultural Research;79;10.5897/ajar2018.13672;"Land use land cover (LULC) dynamics are a widespread, accelerating, and significant process driven by human actions. LULC changes analysis is one of the most precise techniques to understand how land was used in the past, what types of changes are to be expected in the future, as well as the forces and processes behind the changes. This study was carried out to evaluate the historical and future trends as well as driving forces of LULC changes in Somodo watershed South Western, Ethiopia. It was accompanied using satellite image of Landsat5 TM 1985 and 1995, Landsat7 ETM+ 1999, 2005 and Landsat8 OLI/TIROS 2017. In addition, field observations, Key informant interview (KII) and Focus Group Discussion (FGD) were also conducted. ERDAS Imagine 9.1, QGIS 2.18 and IDRSI Selva 17.00, software were used for satellite image processing, map preparation, and LULC change prediction respectively. During the 32 year period between 1985 and 2017, the proportion of area covered by forest and agriculture was decreased by 60.57 ha (12.7%) and 5.22 ha (1.1%) respectively. In contrast, home garden Agroforestry/settlement and grassland were increased by 49.77 ha (7.5%) and 16.02 ha (6.7%) respectively. If the existing rate of LULC change lasts, in 2029 agriculture and forestland are predicted to increase by 91.24 ha and 20.52 ha respectively, while grassland and home garden Agroforestry/settlement are predicted to decrease by 99.97 ha and 11.79 ha respectively. LULC change in the study area is an outcome of several proximate and underlying drivers. The major proximate driving forces of LULC change in the watershed are illegal logging and fuel wood extraction, Expansion of plantation, expansion of settlement, agricultural expansion, and construction of infrastructures. Demographic, Economic, Technological, Institution and policy, and Biophysical factors constitute the major underlying drivers of LULC change in the study area. Population growth is the major underlying cause for LULC change in the study area. Then, Participatory Forest Management through plantation and community nursery expansion is required for forest cover improvement in the watershed. This study also suggests further study on the impact of LULC change in the area.; ; 	Key words: Drivers, geographic information system (GIS), Land use/Land cover Change prediction, Somodo Watershed."
7;"R. González Perea; Andre Daccache; J.A. Rodríguez Díaz; E. Camacho Poyato; Jerry W. Knox";2017;Modelling impacts of precision irrigation on crop yield and in-field water management;"AquaCrop; Variable rate irrigation; Onion; Sprinklers; Water resources";Precision Agriculture;83;10.1007/s11119-017-9535-4;Precision irrigation technologies are being widely promoted to resolve challenges regarding improving crop productivity under conditions of increasing water scarcity. In this paper, the development of an integrated modelling approach involving the coupling of a water application model with a biophysical crop simulation model (Aquacrop) to evaluate the in-field impacts of precision irrigation on crop yield and soil water management is described. The approach allows for a comparison between conventional irrigation management practices against a range of alternate so-called ‘precision irrigation’ strategies (including variable rate irrigation, VRI). It also provides a valuable framework to evaluate the agronomic (yield), water resource (irrigation use and water efficiency), energy (consumption, costs, footprint) and environmental (nitrate leaching, drainage) impacts under contrasting irrigation management scenarios. The approach offers scope for including feedback loops to help define appropriate irrigation management zones and refine application depths accordingly for scheduling irrigation. The methodology was applied to a case study in eastern England to demonstrate the utility of the framework and the impacts of precision irrigation in a humid climate on a high-value field crop (onions). For the case study, the simulations showed how VRI is a potentially useful approach for irrigation management even in a humid environment to save water and reduce deep percolation losses (drainage). It also helped to increase crop yield due to improved control of soil water in the root zone, especially during a dry season.
8;"M Isabel Ramos; Juan J Cubillas; Ruth M Córdoba; Lidia M Ortega";2025;Improving early prediction of crop yield in Spanish olive groves using satellite imagery and machine learning.;N/D;PloS one;18;10.1371/journal.pone.0311530;"In the production sector, the usefulness of predictive systems as a tool for management and decision-making is well known. In the agricultural sector, a correct economic balance of the farm depends on making the right decisions. For this purpose, having information in advance on crop yields is an extraordinary help. Numerous predictive models infer accurate crop yield data from aerobiological variables and pollen analysis; this is around spring, in the middle stage of the crop year, when planning and investments are already done. The aim of this study is to anticipate accurate crop yield data at an early stage of the cropping season. In the case of olive groves in Spain, this period is in February. This work is developed for an entire province, Jaen, belonging to the region of Andalusia, in Southern Spain. The methodology uses Machine Learning algorithms together with an exhaustive analysis of predictor variables. Temporal data come from public web services, such as spatial data infrastructures of some state agencies. The processing of the satellite imagery is carried out by the geospatial processing service Google Earth Engine. The result is the early prediction of kilograms of both olive crop and olive oil, eight months prior to the beginning of the first harvesting campaigns of the year, with an average absolute error of prediction better than 26%. The relevance of this work is the early availability of predicted crop yield data together with the multi-scale applicability of the predictive models. This makes this model a useful tool for all the agents involved in olive grove management. From farmers, to agricultural technicians, researchers and scientists dedicated to the study of the olive tree, to governmental institutions and agricultural associations that provide technical support, advice and regulation to ensure responsible practices and the long-term viability of the olive industry."
9;"Jakob Geipel; Anne Kjersti Bakken; Marit Jørgensen; Audun Korsaeth";2021;Forage yield and quality estimation by means of UAV and hyperspectral imaging;"UAV; Hyperspectral imaging; Multivariate statistics; Forage; Yield; Quality";Precision Agriculture;58;10.1007/s11119-021-09790-2;This study investigated the potential of in-season airborne hyperspectral imaging for the calibration of robust forage yield and quality estimation models. An unmanned aerial vehicle (UAV) and a hyperspectral imager were used to capture canopy reflections of a grass-legume mixture in the range of 450 nm to 800 nm. Measurements were performed over two years at two locations in Southeast and Central Norway. All images were subject to radiometric and geometric corrections before being processed to ortho-images, carrying canopy reflectance information. The data (n = 707) was split in two, using half the data for model calibration and the remaining half for validation. Several powered partial least squares regression (PPLSR) models were fitted to the reflectance data to estimate fresh (FM) and dry matter (DM) yields, as well as crude protein (CP), dry matter digestibility (DMD), neutral detergent fibre (NDF), and indigestible neutral detergent fibre (iNDF) content. Prediction performance of these models was compared with the prediction performance of simple linear regression (SLR) models, which were based on selected vegetation indices and plant height. The highest prediction accuracies for general models, based on the pooled data, were achieved by means of PPLSR, with relative root-mean-square errors of validation of 14.2% (2550 kg FM ha−1), 15.2% (555 kg DM ha−1), 11.7% (1.32 g CP 100 g−1 DM), 2.4% (1.71 g DMD 100 g−1 DM), 4.8% (2.72 g NDF 100 g−1 DM), and 12.8% (1.32 g iNDF 100 g−1 DM) for the prediction of FM, DM, CP, DMD, NDF, and iNDF content, respectively. None of the tested SLR models achieved acceptable prediction accuracies.
10;"Luana Mendes dos Santos; Gabriel Araújo e Silva Ferraz; Brenon Diennevan Souza Barbosa; Adriano Valentim Diotto; Diogo Tubertini Maciel; Letícia Aparecida Gonçalves Xavier";2020;Biophysical parameters of coffee crop estimated by UAV RGB images;N/D;Precision Agriculture;39;10.1007/s11119-020-09716-4;The advance of digital agriculture combined with computational tools and Unmanned Aerial Vehicles (UAVs) has enabled the collection of data for reliably extracting vegetation indices and biophysical parameters derived from the Structure from Motion (SfM) algorithm. This work aimed to evaluate the accuracy of the photogrammetry technique using an SfM point cloud for the estimation of the height (h) and crown diameter (d) of coffee trees from aerial images obtained by UAV with an RGB (Red, Green, Blue) camera and compared the results with data measured in situ for 12 months. The experiment was carried out in a coffee plantation, Lavras, Minas Gerais, Brazil. A rotary-wing UAV was used in autonomous flight mode and coupled to a conventional camera, flying at a height of 30 m with an image overlap of 80% and a speed of 3 m/s. The images were processed using PhotoScan software, and the analyses were performed in Qgis. A correlation of 87% was obtained between the h values in the field and h values obtained by the UAV, and there was a 95% correlation between the d values obtained in the field and the values obtained by the UAV. It was possible to obtain significant estimates of the attributes, such as the h and d of coffee trees, using UAV–SfM images acquired with an RGB digital camera.
